Desa/Kelurahan,Kode Wilayah,Kecamatan,Jumlah Penduduk,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pegawai Negeri Sipil,Petani/ Pekebun,Karyawan Swasta,Buruh Harian Lepas,Buruh Tani/Perkebunan,Pedagang,Wiraswasta
Tlogolele,3309012001,Selo,2799,524,243,409,7,1361,30,86,21,22,50
Klakah,3309012002,Selo,3132,656,170,413,2,1636,31,41,57,15,73
Jrakah,3309012003,Selo,4582,803,238,642,3,2528,81,30,16,26,155
Lencoh,3309012004,Selo,3460,607,186,550,5,1915,59,10,1,12,83
Suroteleng,3309012005,Selo,1919,302,51,332,1,1001,45,7,8,8,126
Samiran,3309012006,Selo,4038,621,622,742,46,1317,194,50,2,47,298
Selo,3309012007,Selo,3122,473,110,539,3,1601,82,3,4,32,225
Tarubatang,3309012008,Selo,2834,427,148,501,14,1484,110,18,10,10,78
Senden,3309012009,Selo,2349,348,132,407,7,1190,88,3,4,16,113
Jeruk,3309012010,Selo,2931,447,105,514,12,1358,119,3,1,11,320
Tanduk,3309022002,Ampel,6617,1238,782,1336,36,211,721,748,61,366,744
Banyuanyar,3309022003,Ampel,2714,432,181,511,18,704,484,58,34,18,158
Sidomulyo,3309022004,Ampel,4820,803,389,947,43,733,952,93,81,102,372
Ngargosari,3309022005,Ampel,3954,625,252,727,21,763,1046,119,94,21,165
Selodoko,3309022006,Ampel,4001,719,410,642,16,709,714,363,52,26,218
Ngenden,3309022007,Ampel,2348,419,424,444,12,113,362,162,105,24,131
Ngampon,3309022008,Ampel,1763,287,285,339,17,217,206,201,51,16,47
Gondang Slamet,3309022009,Ampel,1570,247,104,303,10,47,321,37,382,13,42
Candi,3309022010,Ampel,7877,1376,1185,1612,107,216,1272,661,88,88,848
Urutsewu,3309022011,Ampel,6639,1135,823,1328,63,121,1014,571,51,150,915
Wonodoyo,3309032001,Cepogo,2663,511,204,380,1,482,148,17,832,1,43
Jombong,3309032002,Cepogo,2391,437,70,381,2,1030,254,12,27,15,117
Gedangan,3309032003,Cepogo,4412,857,90,726,10,2009,263,20,18,36,287
Sumbung,3309032004,Cepogo,4128,782,217,752,19,1203,592,75,101,28,214
Paras,3309032005,Cepogo,1093,221,68,168,21,138,205,9,0,20,174
Jelok,3309032006,Cepogo,6582,1191,234,1152,40,1346,983,143,78,24,1201
Bakulan,3309032007,Cepogo,1962,385,99,347,20,516,281,33,14,13,159
Candigatak,3309032008,Cepogo,3409,737,297,561,16,590,419,65,21,16,544
Cabean Kunti,3309032009,Cepogo,4620,954,270,724,13,1091,699,122,50,37,479
Mliwis,3309032010,Cepogo,7257,1492,480,1309,68,1173,1199,258,61,241,600
Sukabumi,3309032011,Cepogo,3803,774,711,674,23,334,207,17,52,18,869
Genting,3309032012,Cepogo,2342,464,44,372,8,938,110,25,20,14,288
Cepogo,3309032013,Cepogo,8524,1773,303,1571,36,1014,1604,138,15,255,800
